Ref_Date,GEO,AGE,SEX,UNIT,Value
2002,Alberta,At birth,Both sexes,Life expectancy,79.7
2003,Alberta,At birth,Both sexes,Life expectancy,79.9
2004,Alberta,At birth,Both sexes,Life expectancy,80.2
2005,Alberta,At birth,Both sexes,Life expectancy,80.3
2006,Alberta,At birth,Both sexes,Life expectancy,80.5
1991,British Columbia,At birth,Both sexes,Life expectancy,78.4
1992,British Columbia,At birth,Both sexes,Life expectancy,78.4
1993,British Columbia,At birth,Both sexes,Life expectancy,78.3
1994,British Columbia,At birth,Both sexes,Life expectancy,78.6
1995,British Columbia,At birth,Both sexes,Life expectancy,78.9
1996,British Columbia,At birth,Both sexes,Life expectancy,78.9
1997,British Columbia,At birth,Both sexes,Life expectancy,79.3
1998,British Columbia,At birth,Both sexes,Life expectancy,79.5
1999,British Columbia,At birth,Both sexes,Life expectancy,79.9
2000,British Columbia,At birth,Both sexes,Life expectancy,80.5
2001,British Columbia,At birth,Both sexes,Life expectancy,80.4
2002,British Columbia,At birth,Both sexes,Life expectancy,80.6
2003,British Columbia,At birth,Both sexes,Life expectancy,80.8
2004,British Columbia,At birth,Both sexes,Life expectancy,80.9
2005,British Columbia,At birth,Both sexes,Life expectancy,81.2
2006,British Columbia,At birth,Both sexes,Life expectancy,81.4
1991,Yukon,At birth,Both sexes,Life expectancy,74.7
1992,Yukon,At birth,Both sexes,Life expectancy,75.8
1993,Yukon,At birth,Both sexes,Life expectancy,75.2
1994,Yukon,At birth,Both sexes,Life expectancy,75.1
1995,Yukon,At birth,Both sexes,Life expectancy,72.8
1996,Yukon,At birth,Both sexes,Life expectancy,76.6
1997,Yukon,At birth,Both sexes,Life expectancy,76.4
1998,Yukon,At birth,Both sexes,Life expectancy,75.8
1999,Yukon,At birth,Both sexes,Life expectancy,76.8
2000,Yukon,At birth,Both sexes,Life expectancy,75.6
2001,Yukon,At birth,Both sexes,Life expectancy,77.5
2002,Yukon,At birth,Both sexes,Life expectancy,76.7
2003,Yukon,At birth,Both sexes,Life expectancy,78.8
2004,Yukon,At birth,Both sexes,Life expectancy,76.4
2005,Yukon,At birth,Both sexes,Life expectancy,
2006,Yukon,At birth,Both sexes,Life expectancy,
1991,Northwest Territories,At birth,Both sexes,Life expectancy,
1992,Northwest Territories,At birth,Both sexes,Life expectancy,
1993,Northwest Territories,At birth,Both sexes,Life expectancy,
1994,Northwest Territories,At birth,Both sexes,Life expectancy,
1995,Northwest Territories,At birth,Both sexes,Life expectancy,
1996,Northwest Territories,At birth,Both sexes,Life expectancy,
1997,Northwest Territories,At birth,Both sexes,Life expectancy,
1998,Northwest Territories,At birth,Both sexes,Life expectancy,
1999,Northwest Territories,At birth,Both sexes,Life expectancy,72.8
2000,Northwest Territories,At birth,Both sexes,Life expectancy,75.9
2001,Northwest Territories,At birth,Both sexes,Life expectancy,75.9
2002,Northwest Territories,At birth,Both sexes,Life expectancy,75.8
2003,Northwest Territories,At birth,Both sexes,Life expectancy,74.7
2004,Northwest Territories,At birth,Both sexes,Life expectancy,79.1
2005,Northwest Territories,At birth,Both sexes,Life expectancy,
2006,Northwest Territories,At birth,Both sexes,Life expectancy,
1991,Nunavut,At birth,Both sexes,Life expectancy,
